Title,Department,Genre,BorrowDate,Count
Organic Chemistry,Chemistry,Biography,2022-07-31,6
Database Systems,Biology,Fiction,2020-10-08,5
Database Systems,Literature,Technology,2020-10-09,9
Artificial Intelligence,History,Education,2023-10-21,8
Environmental Studies,Chemistry,Mystery,2022-05-13,8
Robotics,Chemistry,Reference,2021-04-10,13
Environmental Studies,Mathematics,Science,2023-11-11,10
Data Structures,Chemistry,Fiction,2023-09-21,19
Quantum Physics,Engineering,Reference,2024-08-08,11
Digital Logic Design,Literature,Technology,2021-02-27,13
Network Security,Physics,Reference,2022-04-08,20
Data Structures,Literature,Education,2021-06-11,9
Network Security,Chemistry,Technology,2023-03-15,19
Operating Systems,Literature,Education,2020-10-19,12
Robotics,Engineering,Fiction,2021-08-19,7
Poetry Collection,Literature,Fiction,2020-12-18,18
Poetry Collection,Computer Science,Technology,2023-06-04,8
Database Systems,History,Fiction,2023-09-21,6
Digital Logic Design,Literature,Science,2022-07-31,12
Data Structures,Engineering,Fiction,2022-01-18,10
Data Structures,Engineering,Education,2022-04-07,11
Network Security,Biology,Science,2024-09-30,12
Advanced Mathematics,Chemistry,Biography,2021-11-24,17
Environmental Studies,Chemistry,Technology,2023-10-07,17
Network Security,Engineering,Education,2020-03-04,14
Machine Learning,Literature,Technology,2020-03-06,5
Environmental Studies,Chemistry,Fiction,2024-05-26,15
Machine Learning,Biology,Mystery,2024-02-17,13
Robotics,Computer Science,Biography,2022-08-07,8
Digital Logic Design,Computer Science,Education,2020-06-10,6
Advanced Mathematics,Mathematics,Education,2020-01-16,8
Operating Systems,Biology,Science,2021-10-09,16
Human Anatomy,Computer Science,Science,2023-04-03,12
Environmental Studies,Chemistry,Fiction,2021-09-12,19
Poetry Collection,History,Science,2020-12-27,11
Database Systems,Biology,Mystery,2020-06-04,7
Poetry Collection,Computer Science,Mystery,2020-03-09,13
Operating Systems,Physics,Mystery,2023-11-30,10
Artificial Intelligence,Chemistry,Technology,2023-12-10,18
Poetry Collection,Chemistry,Technology,2021-06-06,9
Network Security,History,Science,2023-03-27,7
Organic Chemistry,History,Technology,2022-06-17,8
Operating Systems,History,Science,2023-02-06,20
Digital Logic Design,Biology,Mystery,2023-04-29,15
Advanced Mathematics,Mathematics,Fiction,2023-03-22,20
Human Anatomy,Literature,Science,2022-11-14,13
Advanced Mathematics,Literature,Biography,2020-10-23,7
Environmental Studies,Chemistry,Mystery,2022-12-08,15
Data Structures,Chemistry,Technology,2020-11-17,12
Machine Learning,Chemistry,Technology,2022-01-02,20
Data Structures,Literature,Technology,2023-07-25,17
Robotics,Biology,Technology,2020-10-04,15
Operating Systems,Mathematics,Technology,2022-11-19,7
Environmental Studies,History,Fiction,2022-07-09,5
Environmental Studies,Biology,Fiction,2021-05-18,19
Organic Chemistry,History,Reference,2020-07-02,11
Poetry Collection,Literature,Education,2024-12-16,17
Poetry Collection,Computer Science,Mystery,2023-07-04,14
Human Anatomy,Mathematics,Fiction,2024-10-18,5
Poetry Collection,History,Fiction,2023-11-19,14
Digital Logic Design,Biology,Reference,2021-06-03,12
Digital Logic Design,History,Biography,2022-07-13,19
Modern History,Computer Science,Biography,2023-06-08,16
Poetry Collection,Chemistry,Education,2021-03-08,9
Database Systems,Computer Science,Fiction,2023-09-04,8
Artificial Intelligence,Computer Science,Mystery,2021-10-21,16
Quantum Physics,Literature,Fiction,2020-12-08,10
Environmental Studies,Engineering,Education,2024-11-24,18
Machine Learning,Chemistry,Fiction,2023-09-30,14
Environmental Studies,Computer Science,Mystery,2020-08-12,9
Data Structures,History,Education,2020-10-06,6
Modern History,History,Mystery,2022-03-12,10
Artificial Intelligence,Computer Science,Science,2024-03-13,20
Operating Systems,Engineering,Education,2020-10-01,5
Quantum Physics,Chemistry,Reference,2024-07-31,6
Operating Systems,Biology,Biography,2024-06-23,13
Advanced Mathematics,History,Fiction,2023-08-17,19
Human Anatomy,Engineering,Reference,2021-07-15,5
Advanced Mathematics,History,Biography,2023-05-09,17
Organic Chemistry,Physics,Science,2020-02-19,5
Robotics,Biology,Education,2024-09-22,11
Poetry Collection,Literature,Biography,2022-02-15,5
Poetry Collection,Engineering,Mystery,2024-08-24,20
Human Anatomy,History,Education,2024-09-23,20
Robotics,Chemistry,Education,2022-01-28,13
Operating Systems,Computer Science,Fiction,2021-07-31,20
Quantum Physics,Literature,Reference,2022-02-25,10
Database Systems,Chemistry,Mystery,2022-03-21,11
Poetry Collection,History,Mystery,2020-11-30,5
Quantum Physics,Chemistry,Mystery,2024-01-19,5
Artificial Intelligence,Biology,Reference,2023-10-08,19
Human Anatomy,Chemistry,Technology,2022-12-05,8
Poetry Collection,Mathematics,Fiction,2023-03-22,16
Environmental Studies,Physics,Education,2022-07-30,8
Advanced Mathematics,Mathematics,Education,2024-05-07,18
Artificial Intelligence,Literature,Reference,2023-01-02,11
Robotics,Computer Science,Technology,2022-12-07,7
Advanced Mathematics,Biology,Fiction,2020-11-26,13
Poetry Collection,Physics,Biography,2020-09-18,16
Organic Chemistry,Chemistry,Biography,2023-10-16,5
Digital Logic Design,Biology,Biography,2024-03-31,20
Poetry Collection,Mathematics,Education,2022-03-21,13
Artificial Intelligence,Literature,Mystery,2024-09-30,15
Digital Logic Design,History,Biography,2022-07-21,12
Quantum Physics,History,Biography,2023-07-31,7
Machine Learning,Chemistry,Education,2022-01-16,6
Digital Logic Design,Computer Science,Biography,2022-11-25,10
Advanced Mathematics,Engineering,Education,2021-01-31,5
Poetry Collection,Biology,Fiction,2023-01-21,19
Operating Systems,History,Technology,2022-01-31,18
Machine Learning,Engineering,Technology,2024-11-01,6
Modern History,Literature,Science,2020-01-02,14
Environmental Studies,Engineering,Reference,2022-05-23,11
Network Security,Chemistry,Reference,2021-12-18,11
Machine Learning,Biology,Fiction,2021-09-18,20
Quantum Physics,Literature,Biography,2020-03-19,12
Poetry Collection,Engineering,Mystery,2020-04-04,15
Machine Learning,Literature,Technology,2021-04-01,11
Operating Systems,Computer Science,Mystery,2022-05-31,10
Modern History,Engineering,Fiction,2022-04-16,20
Organic Chemistry,Literature,Technology,2024-01-21,11
Robotics,Biology,Fiction,2022-05-15,8
Poetry Collection,Literature,Technology,2021-06-10,20
Environmental Studies,Engineering,Biography,2022-07-10,18
Modern History,Chemistry,Fiction,2022-08-29,16
Artificial Intelligence,Biology,Education,2021-10-09,19
Data Structures,History,Mystery,2023-11-26,14
Database Systems,Biology,Fiction,2023-05-21,18
Human Anatomy,History,Education,2024-10-20,7
Modern History,Engineering,Biography,2023-03-03,7
Quantum Physics,Biology,Mystery,2021-05-27,10
Organic Chemistry,Literature,Education,2020-05-30,20
Quantum Physics,History,Education,2021-03-26,13
Artificial Intelligence,Engineering,Mystery,2022-06-04,11
Database Systems,Literature,Reference,2020-12-13,9
Data Structures,Mathematics,Education,2022-01-10,19
Quantum Physics,Mathematics,Mystery,2023-08-27,5
Environmental Studies,History,Reference,2021-04-29,20
Poetry Collection,Literature,Science,2021-09-06,17
Poetry Collection,History,Technology,2020-03-10,18
Data Structures,Literature,Science,2022-10-26,9
Organic Chemistry,Engineering,Mystery,2021-06-17,6
Artificial Intelligence,Literature,Technology,2022-07-23,20
Artificial Intelligence,Literature,Science,2020-07-19,19
